REG;DEP;LIBDEP;DEPCOM;CODEPOSTAL;LIBCOM;NUMVOIE;INDREP;TYPVOIE;NOMVOIE;NUMAPPT;NUMBOITE;ESC;COULOIR;ETAGE;COMPLIDENT;ENTREE;BAT;IMMEU;COMPLGEO;LIEUDIT;QPV;TYPECONST;NBPIECE;SURFHAB;CONSTRUCT;LOCAT;PATRIMOINE;ORIGINE;FINAN;DATCONV;NEWLOGT;CUS;DPEENERGIE;DPESERRE;SRU_EXPIR;SRU_ALINEA;CODSEGPATRIM;nb
76;11;AUDE;11262;11100;NARBONNE;16;;R;VOLTAIRE;4201;;;;1;;;;;;APT N.9 RESIDENCE SAN MIGUEL;1;C;3;1184.0;1851;1988;1988;3;12;24/11/1986;;;C;B;;;;19.0
76;11;AUDE;11262;11100;NARBONNE;1;;RUE;VIOLLET LE DUC;11;;1;;1;;;ENSEMBLE 1;;RESIDENCE VIOLLET LE DUC;;1;C;1;260.0;1930;2004;2004;2;10;15/02/2005;;10.0;;;2038.0;2.0;92;9.0
76;11;AUDE;11262;11100;NARBONNE;4;;RUE;TURGOT;32;;1;;3;;;ENSEMBLE 1;;CHARITE (30 HLM);;1;C;2;972.0;1977;1977;1977;1;99;01/01/2000;;;;;2024.0;2.0;31;20.0
76;11;AUDE;11262;11100;NARBONNE;1;;RUE;TURGOT;31;;1;;3;;;BATIMENT 1;;CHARITE (32 ILM);;1;C;3;514.0;1975;1975;1975;1;99;01/01/2000;;;;;2024.0;2.0;27;8.0
76;11;AUDE;11262;11100;NARBONNE;2;;IMPASSE;TURGOT;2;;3;;0;;;BATIMENT 1;;CHARITE (32 ILN);;1;C;3;754.0;1973;1973;1973;1;99;01/01/2000;;;;;2024.0;2.0;20;12.0
76;11;AUDE;11262;11100;NARBONNE;3;;IMPASSE;TURGOT;12;;3;;1;;;BATIMENT 1;;CHARITE (32 ILM);;1;C;3;709.0;1975;1975;1975;1;99;01/01/2000;;;;;2024.0;2.0;27;12.0
76;11;AUDE;11262;11100;NARBONNE;6;;RUE;TURGOT;1;;2;;0;;;ENSEMBLE 1;;CHARITE (30 HLM);;1;C;1;379.0;1977;1977;1977;1;99;01/01/2000;;;;;2024.0;2.0;31;8.0
76;11;AUDE;11262;11100;NARBONNE;3;;RUE;TURGOT;22;;1;;2;;;BATIMENT 1;;CHARITE (32 ILN);;1;C;3;532.0;1973;1973;1973;1;99;01/01/2000;;;;;2024.0;2.0;20;8.0
76;11;AUDE;11262;11100;NARBONNE;1;;IMPASSE;TURGOT;2;;2;;0;;;BATIMENT 1;;CHARITE (32 ILN);;1;C;3;711.0;1973;1973;1973;1;99;01/01/2000;;;;;2024.0;2.0;20;12.0
76;11;AUDE;11262;11100;NARBONNE;2 B;;RUE;TURGOT;1;;1;;0;;;BATIMENT 2;;CHARITE (31 PLA);;1;C;4;304.0;1981;1981;1981;1;12;01/05/1988;;;;;2022.0;2.0;39;4.0
76;11;AUDE;11262;11100;NARBONNE;72;;RUE;TURENNE;;;7;;0;;;ENSEMBLE 1;;16 PLA TURENNE;;2;I;3;73.0;1987;1987;1987;1;12;01/09/1987;;;;;2021.0;2.0;52;1.0
76;11;AUDE;11262;11100;NARBONNE;66;;RUE;TURENNE;;;4;;0;;;ENSEMBLE 1;;16 PLA TURENNE;;2;I;4;86.0;1987;1987;1987;1;12;01/09/1987;;;;;2021.0;2.0;52;1.0
76;11;AUDE;11262;11100;NARBONNE;62;;RUE;TURENNE;;;2;;0;;;ENSEMBLE 1;;16 PLA TURENNE;;2;I;3;73.0;1987;1987;1987;1;12;01/09/1987;;;;;2021.0;2.0;52;1.0
76;11;AUDE;11262;11100;NARBONNE;60;;RUE;TURENNE;;;1;;0;;;ENSEMBLE 1;;16 PLA TURENNE;;2;I;4;86.0;1987;1987;1987;1;12;01/09/1987;;;;;2021.0;2.0;52;1.0
76;11;AUDE;11262;11100;NARBONNE;64;;RUE;TURENNE;;;3;;0;;;ENSEMBLE 1;;16 PLA TURENNE;;2;I;3;73.0;1987;1987;1987;1;12;01/09/1987;;;;;2021.0;2.0;52;1.0
76;11;AUDE;11262;11100;NARBONNE;68;;RUE;TURENNE;;;5;;0;;;ENSEMBLE 1;;16 PLA TURENNE;;2;I;4;86.0;1987;1987;1987;1;12;01/09/1987;;;;;2021.0;2.0;52;1.0
76;11;AUDE;11262;11100;NARBONNE;74;;RUE;TURENNE;;;8;;0;;;ENSEMBLE 1;;16 PLA TURENNE;;2;I;4;86.0;1987;1987;1987;1;12;01/09/1987;;;;;2021.0;2.0;52;1.0
76;11;AUDE;11262;11100;NARBONNE;70;;RUE;TURENNE;;;6;;0;;;ENSEMBLE 1;;16 PLA TURENNE;;2;I;3;73.0;1987;1987;1987;1;12;01/09/1987;;;;;2021.0;2.0;52;1.0
76;11;AUDE;11262;11100;NARBONNE;K;;RUE;THEOPHILE HELENA;32;;11;;3;;;BATIMENT 1;;ARENES ROMAINES;;2;C;3;387.0;1959;1959;1959;1;99;01/01/1993;;;;;2027.0;2.0;12;7.0
76;11;AUDE;11262;11100;NARBONNE;L;;RUE;THEOPHILE HELENA;1;;12;;0;;;BATIMENT 1;;ARENES ROMAINES;;2;C;2;414.0;1959;1959;1959;1;99;01/01/1993;;;;;2027.0;2.0;12;7.0
